host_time_s,device_ms,seq,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
303000.1446,1079252,10,1.1084,-0.4294,0.1831,-217.3740,-475.2366,-97.2824
303000.1446,1079262,10,1.1572,-0.3987,0.1584,-209.1603,-452.8550,-98.9924
303000.1446,1079272,10,1.3032,-0.3643,0.0808,-208.7786,-439.2366,-99.9237
303000.1446,1079282,10,1.4580,-0.3638,-0.0195,-216.9008,-423.6031,-98.7939
303000.1446,1079292,10,1.6160,-0.4463,-0.1384,-230.1069,-409.4809,-100.3664
303000.1446,1079302,10,1.8738,-0.6938,-0.1785,-244.2290,-406.6565,-105.0840
303000.1446,1079312,10,2.1714,-0.9451,-0.1626,-254.2290,-419.8321,-99.4046
303000.1446,1079322,10,2.2542,-1.0337,-0.0833,-254.1679,-412.5954,-77.9695
303000.1446,1079332,10,2.2297,-1.0828,-0.0393,-246.6870,-376.8397,-63.0229
303000.1446,1079342,10,2.1838,-1.0750,-0.0032,-234.7634,-322.4885,-61.8626
303000.2502,1079352,11,2.1396,-1.0391,0.0215,-222.9924,-264.2137,-62.0611
303000.2502,1079362,11,1.9951,-0.9802,0.0261,-208.3206,-204.3817,-59.9847
303000.2502,1079372,11,1.9006,-0.9355,0.0061,-194.8702,-150.9008,-60.5038
303000.2502,1079382,11,1.8137,-0.9067,-0.0112,-186.5191,-115.9695,-65.6641
303000.2502,1079392,11,1.7551,-0.9490,-0.0293,-182.4733,-82.4427,-77.8626
303000.2502,1079402,11,1.7822,-0.9573,-0.0342,-173.0076,-53.9542,-89.3893
303000.2502,1079412,11,1.7114,-0.9863,-0.0608,-166.2595,-24.0153,-94.4580
303000.2502,1079422,11,1.5310,-0.9651,-0.1296,-161.5267,2.4427,-92.5191
303000.2502,1079432,11,1.4714,-0.9189,-0.1406,-151.6336,10.7634,-95.5878
303000.2502,1079442,11,1.4148,-0.9172,-0.1648,-145.1145,9.0229,-98.3969
303000.3547,1079452,12,1.3462,-0.9204,-0.2017,-137.4656,4.1374,-97.6489
303000.3547,1079462,12,1.3228,-0.8875,-0.2012,-125.8015,-1.0687,-100.0611
303000.3547,1079472,12,1.2974,-0.8621,-0.2100,-116.6260,-5.7099,-97.8015
303000.3547,1079482,12,1.2839,-0.8330,-0.2063,-110.2748,-11.3588,-91.2366
303000.3547,1079492,12,1.2668,-0.7981,-0.2180,-107.2672,-15.1603,-84.7023
303000.3547,1079502,12,1.2388,-0.7808,-0.2292,-108.6870,-17.2824,-76.4427
303000.3547,1079512,12,1.2153,-0.7778,-0.2498,-111.9389,-19.1298,-67.4504
303000.3547,1079522,12,1.2021,-0.7747,-0.2700,-113.7405,-19.6183,-59.7099
303000.3547,1079532,12,1.1853,-0.7805,-0.2808,-113.1603,-18.4427,-51.3588
303000.3547,1079542,12,1.1304,-0.6882,-0.2742,-106.5496,-16.3359,-41.2519
303000.4442,1079552,13,1.1013,-0.6934,-0.3086,-101.5573,-12.8855,-30.4275
303000.4442,1079562,13,1.1343,-0.6875,-0.2905,-94.6870,-12.8397,-26.7176
303000.4442,1079572,13,1.1936,-0.6528,-0.2871,-88.7023,-8.1832,-29.1603
303000.4442,1079582,13,1.1948,-0.6064,-0.2859,-79.4504,-1.7099,-23.3130
303000.4442,1079592,13,1.1772,-0.6018,-0.3125,-75.5725,6.8397,-16.6412
303000.4442,1079602,13,1.1589,-0.5967,-0.3201,-72.2443,15.8473,-13.6183
303000.4442,1079612,13,1.1455,-0.5803,-0.3208,-66.8244,23.3435,-12.4885
303000.4442,1079622,13,1.1260,-0.5703,-0.3245,-62.9160,28.5496,-9.2061
303000.4442,1079632,13,1.0942,-0.5618,-0.3354,-60.0153,32.4885,-2.9313
303000.4442,1079642,13,1.0669,-0.5544,-0.3381,-58.3206,35.0534,3.2977
303000.5504,1079652,14,1.0457,-0.5398,-0.3247,-56.5344,35.7099,10.1221
303000.5504,1079662,14,1.0342,-0.5127,-0.3147,-55.8626,33.3740,19.0687
303000.5504,1079672,14,1.0249,-0.4844,-0.3088,-57.6336,29.4198,28.8855
303000.5504,1079682,14,1.0127,-0.4624,-0.2979,-60.5954,26.9924,38.6107
303000.5504,1079692,14,0.9971,-0.4543,-0.2966,-62.7939,27.0840,47.0534
303000.5504,1079702,14,0.9800,-0.4507,-0.3125,-62.5802,29.0076,53.5115
303000.5504,1079712,14,0.9568,-0.4475,-0.3271,-59.3893,31.2519,57.3893
303000.5504,1079722,14,0.9321,-0.4326,-0.3406,-53.9542,32.0153,59.6183
303000.5504,1079732,14,0.9224,-0.4202,-0.3479,-46.8397,30.1069,60.5649
303000.5504,1079742,14,0.9214,-0.4004,-0.3569,-38.6870,27.2214,60.7939
303000.6538,1079752,15,0.9102,-0.3811,-0.3528,-29.4504,25.1145,60.7634
303000.6538,1079762,15,0.8997,-0.3479,-0.3484,-19.2824,23.2977,59.3893
