host_time_s,device_ms,seq,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
302744.9505,824052,18,-0.6626,0.0586,0.7502,-0.4733,-0.7481,-0.5191
302744.9505,824062,18,-0.6768,0.0662,0.7373,-0.3359,0.0458,-0.7328
302744.9505,824072,18,-0.6694,0.0688,0.7388,-0.3359,-0.7176,-0.6718
302744.9505,824082,18,-0.6680,0.0662,0.7454,0.7023,-0.8550,-1.0076
302744.9505,824092,18,-0.6772,0.0674,0.7319,1.5573,-0.6260,-1.5725
302744.9505,824102,18,-0.6858,0.0688,0.7292,1.0992,-1.5878,-1.6031
302744.9505,824112,18,-0.6807,0.0642,0.7319,0.1679,-3.2519,-1.6641
302744.9505,824122,18,-0.6584,0.0564,0.7488,-0.3206,-4.3817,-1.8626
302744.9505,824132,18,-0.6428,0.0498,0.7688,0.6107,-3.2214,-1.6489
302744.9505,824142,18,-0.6653,0.0625,0.7588,1.4809,-0.1527,-1.4198
302745.0560,824152,19,-0.6797,0.0659,0.7412,0.1985,0.8550,-0.9160
302745.0560,824162,19,-0.6885,0.0679,0.7307,-0.4122,-0.4885,-0.9008
302745.0560,824172,19,-0.6819,0.0684,0.7354,-0.6718,-2.5649,-1.2824
302745.0560,824182,19,-0.6660,0.0642,0.7495,-0.7328,-4.2748,-1.6641
302745.0560,824192,19,-0.6619,0.0593,0.7490,-0.3664,-3.9389,-1.8321
302745.0560,824202,19,-0.6738,0.0613,0.7395,-0.3053,-3.0687,-1.9084
302745.0560,824212,19,-0.6665,0.0552,0.7507,-0.7634,-2.9771,-1.6489
302745.0560,824222,19,-0.6658,0.0620,0.7581,-0.2290,-2.0763,-1.4504
302745.0560,824232,19,-0.6851,0.0652,0.7405,-1.2824,-1.7405,-1.3130
302745.0560,824242,19,-0.6604,0.0557,0.7654,-1.0687,-3.1298,-1.1145
302745.1464,824252,20,-0.6475,0.0618,0.7852,1.9389,-1.3435,-1.4656
302745.1464,824262,20,-0.6785,0.0718,0.7600,2.6412,2.1832,-1.5420
302745.1464,824272,20,-0.6990,0.0759,0.7292,0.5191,1.8779,-1.1603
302745.1464,824282,20,-0.6970,0.0745,0.7192,-0.3817,-1.3130,-1.5878
302745.1464,824292,20,-0.6699,0.0552,0.7400,-1.0229,-4.5802,-2.2595
302745.1464,824302,20,-0.6445,0.0457,0.7671,0.0305,-4.8855,-2.2595
302745.1464,824312,20,-0.6387,0.0576,0.7791,1.7863,-1.3435,-1.5878
302745.1464,824322,20,-0.6755,0.0615,0.7505,0.9771,2.9618,-0.6412
302745.1464,824332,20,-0.6968,0.0681,0.7290,0.3053,2.9313,-0.3359
302745.1464,824342,20,-0.6919,0.0732,0.7322,0.1221,-0.2443,-0.7786
302745.2511,824352,21,-0.6775,0.0681,0.7356,-0.5344,-2.8397,-1.4351
302745.2511,824362,21,-0.6704,0.0654,0.7456,-0.6718,-3.6031,-1.8168
302745.2511,824372,21,-0.6609,0.0662,0.7568,0.0458,-3.0229,-1.9695
302745.2511,824382,21,-0.6580,0.0625,0.7603,0.5344,-1.0229,-1.9542
302745.2511,824392,21,-0.6653,0.0649,0.7607,1.0687,0.7939,-2.0153
302745.2511,824402,21,-0.6660,0.0557,0.7588,0.7939,1.9389,-1.7710
302745.2511,824412,21,-0.6716,0.0564,0.7495,0.8702,2.5649,-1.6489
