host_time_s,device_ms,seq,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
302320.5601,399652,126,-0.6689,-0.0039,0.7234,-2.1374,-1.8626,-0.6107
302320.5601,399662,126,-0.6714,0.0063,0.7339,0.0763,-0.7023,-0.7634
302320.5601,399672,126,-0.6802,0.0154,0.7202,0.0305,0.6870,-0.0153
302320.5601,399682,126,-0.6941,0.0208,0.7046,-0.8092,0.8092,0.6412
302320.5601,399692,126,-0.6848,0.0286,0.7139,-1.0534,-0.0611,0.5038
302320.5601,399702,126,-0.6831,0.0278,0.7148,-1.1298,-0.1374,0.1069
302320.5601,399712,126,-0.6914,0.0266,0.7153,-1.2519,0.3969,-0.1069
302320.5601,399722,126,-0.6956,0.0247,0.7061,-1.7863,-0.1985,0.0763
302320.5601,399732,126,-0.6934,0.0242,0.7090,-1.1450,-1.3740,0.0000
302320.5601,399742,126,-0.6863,0.0332,0.7148,0.1374,-2.2290,-0.5038
302320.6643,399752,127,-0.6921,0.0317,0.7151,0.1069,-2.4733,-0.9771
302320.6643,399762,127,-0.6956,0.0264,0.7095,-1.0840,-3.2366,-1.3130
302320.6643,399772,127,-0.6831,0.0137,0.7166,-1.6031,-4.4275,-1.7099
302320.6643,399782,127,-0.6680,0.0071,0.7429,-0.6565,-3.8015,-1.8015
302320.6643,399792,127,-0.6758,0.0066,0.7422,0.5191,-1.3588,-1.6183
302320.6643,399802,127,-0.6868,0.0122,0.7266,0.6412,0.4275,-0.7328
302320.6643,399812,127,-0.6958,0.0229,0.7166,0.4580,0.6107,-0.2290
302320.6643,399822,127,-0.6975,0.0176,0.7144,-0.1527,-0.0458,-0.3817
302320.6643,399832,127,-0.6919,0.0127,0.7229,-0.6565,-1.3893,-0.6107
302320.6643,399842,127,-0.6887,0.0146,0.7302,-0.7176,-0.9771,-0.4122
302320.7688,399852,128,-0.7014,0.0188,0.7188,0.0000,-0.0305,-0.4580
302320.7688,399862,128,-0.7119,0.0286,0.7114,-0.2290,-0.6718,-0.4275
302320.7688,399872,128,-0.7014,0.0256,0.7229,-1.4809,-2.6870,-0.5802
302320.7688,399882,128,-0.6909,0.0146,0.7314,-1.8321,-3.0076,-0.7939
302320.7688,399892,128,-0.6951,0.0115,0.7361,-0.7481,-2.5344,-1.1298
302320.7688,399902,128,-0.6936,0.0190,0.7312,-0.1985,-2.6260,-1.1756
302320.7688,399912,128,-0.6895,0.0222,0.7368,-0.5038,-2.7786,-0.9466
302320.7688,399922,128,-0.6814,0.0168,0.7390,-0.6260,-2.2443,-0.9466
302320.7688,399932,128,-0.6880,0.0151,0.7375,-0.2595,-1.5725,-1.3893
302320.7688,399942,128,-0.6819,0.0183,0.7393,-0.7939,-0.9313,-1.6641
302320.8588,399952,129,-0.6914,0.0061,0.7161,-2.4885,0.1832,-1.2824
302320.8588,399962,129,-0.6960,0.0049,0.7065,-2.4885,-0.0153,-0.9313
302320.8588,399972,129,-0.6882,0.0134,0.7085,-1.6947,-1.6947,-0.7634
