host_time_s,device_ms,seq,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
243416.1184,168568,119,-1.0166,-0.7617,0.9438,-16.2748,-108.2901,38.5344
243416.1184,168578,119,-1.0474,-0.6687,0.9653,-20.7634,-102.5496,41.0840
243416.1184,168588,119,-1.0923,-0.6013,0.9673,-25.8473,-96.7023,40.7328
243416.1184,168598,119,-1.1096,-0.5513,0.9775,-32.6565,-93.5115,38.8244
243416.1184,168608,119,-1.1313,-0.5007,1.0166,-39.6794,-90.0000,37.1908
243416.1184,168618,119,-1.1411,-0.4343,1.0640,-43.1145,-85.4198,35.9237
243416.1184,168628,119,-1.1245,-0.3726,1.1033,-46.9618,-82.1985,32.9466
243416.1184,168638,119,-1.0906,-0.3870,1.0935,-52.9160,-78.1374,28.0305
243416.1184,168648,119,-1.0488,-0.4485,1.0117,-57.2977,-72.9618,23.3130
243416.1184,168658,119,-0.9778,-0.5173,0.9553,-61.0076,-68.7176,21.1908
243416.1932,168668,120,-0.9434,-0.6035,0.8972,-65.0992,-63.2519,22.7939
243416.1932,168678,120,-0.9231,-0.6460,0.8464,-67.0382,-59.2366,29.8931
243416.1932,168688,120,-0.9177,-0.6140,0.8259,-67.2519,-56.5802,41.0992
243416.1932,168698,120,-0.9099,-0.5325,0.8308,-65.5573,-54.1679,52.7023
243416.1932,168708,120,-0.9143,-0.4204,0.8591,-63.0076,-51.8626,60.5649
243416.1932,168718,120,-0.9109,-0.3701,0.8665,-63.9237,-49.0076,64.9008
243416.1932,168728,120,-0.9468,-0.3330,0.8835,-61.9695,-44.9466,67.9237
243416.1932,168738,120,-0.9856,-0.2786,0.9316,-57.5878,-42.6260,70.8550
243416.1932,168748,120,-0.9766,-0.2141,1.0366,-56.4427,-41.0687,73.9389
243416.1932,168758,120,-0.9900,-0.1353,1.1619,-55.7557,-34.4885,75.4809
243416.2985,168768,121,-1.0083,-0.0437,1.2288,-55.4046,-24.8702,74.8702
243416.2985,168778,121,-0.9998,0.0352,1.2483,-56.9160,-15.3740,71.3435
243416.2985,168788,121,-0.9846,0.0669,1.2297,-61.6947,-5.9084,64.8092
243416.2985,168798,121,-0.9531,0.0679,1.1748,-66.3969,2.3664,56.9771
243416.2985,168808,121,-0.9460,0.0349,1.0894,-70.9771,9.0992,50.2290
243416.2985,168818,121,-0.9380,0.0125,1.0439,-72.9008,11.2672,46.3511
243416.2985,168828,121,-0.8962,0.0059,1.0645,-71.8015,9.8321,45.3588
243416.2985,168838,121,-0.8767,0.0129,1.1130,-68.4733,11.0229,46.0916
243416.2985,168848,121,-0.8892,0.0405,1.1536,-63.6947,14.6107,47.9847
243416.2985,168858,121,-0.8923,0.0986,1.1985,-59.4046,17.8626,50.5038
243416.4181,168868,122,-0.9080,0.1648,1.2363,-56.3969,21.6947,52.5649
243416.4181,168878,122,-0.8940,0.2329,1.2695,-52.2290,25.4198,52.4580
243416.4181,168888,122,-0.8857,0.2861,1.2983,-46.0916,32.0916,50.6565
243416.4181,168898,122,-0.8875,0.3450,1.2847,-39.2824,41.0992,47.5725
243416.4181,168908,122,-0.8806,0.3606,1.2126,-36.3359,47.7557,43.3282
243416.4181,168918,122,-0.8738,0.3547,1.1396,-33.5267,52.6870,39.3435
243416.4181,168928,122,-0.8557,0.3411,1.0908,-29.4351,56.5649,35.8626
243416.4181,168938,122,-0.8423,0.3352,1.0784,-25.0687,59.3740,33.0687
243416.4181,168948,122,-0.8291,0.3037,1.0806,-21.3588,61.1603,30.8702
243416.4181,168958,122,-0.8174,0.2678,1.0769,-16.9008,63.1756,29.2824
243416.4937,168968,123,-0.7913,0.2429,1.0793,-12.7176,65.6489,29.1756
243416.4937,168978,123,-0.7644,0.2217,1.0669,-8.0153,69.4809,30.7786
243416.4937,168988,123,-0.7485,0.2144,1.0371,-1.6641,74.8855,33.5725
243416.4937,168998,123,-0.7305,0.2285,0.9927,4.2595,80.1374,37.0076
243416.4937,169008,123,-0.7180,0.2566,0.9236,12.9771,85.4656,40.1832
243416.4937,169018,123,-0.7175,0.3032,0.8560,24.4885,90.7481,40.8702
243416.4937,169028,123,-0.7151,0.3389,0.7881,32.2595,94.3817,39.8931
243416.4937,169038,123,-0.7136,0.3804,0.7256,36.4427,95.9847,37.8168
243416.4937,169048,123,-0.7051,0.4072,0.6738,38.7176,95.0840,33.5420
243416.4937,169058,123,-0.6704,0.3918,0.6375,40.3817,92.3969,27.0382
243416.5998,169068,124,-0.6379,0.3752,0.6194,43.9695,90.9924,20.2595
243416.5998,169078,124,-0.6079,0.3618,0.5981,48.4885,90.7328,14.2595
243416.5998,169088,124,-0.5823,0.3198,0.5464,51.6947,89.8779,8.2901
243416.5998,169098,124,-0.5474,0.2803,0.4993,54.2748,87.6947,3.6336
243416.5998,169108,124,-0.5100,0.2517,0.4746,56.7176,85.6336,0.5802
243416.5998,169118,124,-0.4846,0.2188,0.4282,57.4198,86.0153,-1.9389
243416.5998,169128,124,-0.4829,0.1943,0.3691,58.6870,86.2290,-3.5267
243416.5998,169138,124,-0.4683,0.1909,0.3108,61.4046,82.9466,-4.3053
243416.5998,169148,124,-0.4578,0.2017,0.2717,63.3588,77.8779,-5.8779
