host_time_s,device_ms,seq,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
302941.7506,1020852,194,0.9316,-0.3582,-0.2634,1.8473,-0.4885,3.7710
302941.7506,1020862,194,0.9255,-0.3547,-0.2656,1.7863,-0.5038,3.8015
302941.7506,1020872,194,0.9241,-0.3552,-0.2666,1.6794,-1.1145,3.9542
302941.7506,1020882,194,0.9290,-0.3533,-0.2690,1.5267,-1.8626,4.0458
302941.7506,1020892,194,0.9314,-0.3525,-0.2651,1.5115,-2.3511,3.9542
302941.7506,1020902,194,0.9358,-0.3535,-0.2642,1.6794,-2.4580,3.8015
302941.7506,1020912,194,0.9390,-0.3528,-0.2595,1.8473,-2.3664,3.6336
302941.7506,1020922,194,0.9429,-0.3545,-0.2588,2.1374,-2.1679,3.6336
302941.7506,1020932,194,0.9438,-0.3521,-0.2532,2.4122,-1.8015,3.6947
302941.7506,1020942,194,0.9402,-0.3481,-0.2534,2.5496,-1.2366,3.7557
302941.8545,1020952,195,0.9419,-0.3435,-0.2517,2.4885,-0.8092,3.9084
302941.8545,1020962,195,0.9365,-0.3381,-0.2556,1.9542,-0.3817,4.1832
302941.8545,1020972,195,0.9355,-0.3340,-0.2573,1.2214,-0.1069,4.3511
302941.8545,1020982,195,0.9329,-0.3335,-0.2607,0.5496,0.1985,4.3817
302941.8545,1020992,195,0.9290,-0.3291,-0.2646,0.0000,0.0458,4.2901
302941.8545,1021002,195,0.9265,-0.3320,-0.2688,-0.3053,-0.2748,3.9695
302941.8545,1021012,195,0.9260,-0.3269,-0.2651,-0.4122,-0.5344,3.3435
302941.8545,1021022,195,0.9270,-0.3254,-0.2676,-0.3969,-0.7176,2.7023
302941.8545,1021032,195,0.9236,-0.3296,-0.2634,-0.4275,-0.7481,1.9542
302941.8545,1021042,195,0.9177,-0.3274,-0.2634,-0.4122,-0.7939,1.1450
302941.9448,1021052,196,0.9167,-0.3298,-0.2615,-0.4427,-0.9771,0.4580
302941.9448,1021062,196,0.9170,-0.3340,-0.2676,-0.4580,-1.2977,-0.2595
302941.9448,1021072,196,0.9172,-0.3384,-0.2639,-0.3664,-1.6336,-0.8244
302941.9448,1021082,196,0.9204,-0.3403,-0.2605,-0.2901,-1.8626,-1.4351
302941.9448,1021092,196,0.9204,-0.3438,-0.2568,-0.1527,-2.0611,-2.0000
302941.9448,1021102,196,0.9285,-0.3423,-0.2581,-0.0916,-2.2901,-2.4733
302941.9448,1021112,196,0.9307,-0.3467,-0.2571,-0.0916,-2.4733,-2.7634
302941.9448,1021122,196,0.9382,-0.3455,-0.2605,-0.0458,-2.1527,-3.1603
302941.9448,1021132,196,0.9346,-0.3494,-0.2581,-0.1374,-1.6031,-3.5878
302941.9448,1021142,196,0.9277,-0.3521,-0.2642,-0.3206,-0.9924,-3.9847
302942.0506,1021152,197,0.9270,-0.3538,-0.2671,-0.6107,-0.6412,-4.3053
302942.0506,1021162,197,0.9265,-0.3574,-0.2676,-0.9466,-0.7939,-4.4733
302942.0506,1021172,197,0.9233,-0.3599,-0.2710,-1.1145,-1.4504,-4.5496
302942.0506,1021182,197,0.9312,-0.3633,-0.2681,-1.2366,-2.2443,-4.5344
302942.0506,1021192,197,0.9355,-0.3645,-0.2644,-1.3893,-2.7023,-4.5344
302942.0506,1021202,197,0.9360,-0.3718,-0.2625,-1.4809,-2.5496,-4.4885
302942.0506,1021212,197,0.9336,-0.3755,-0.2593,-1.4046,-1.9695,-4.4427
302942.0506,1021222,197,0.9331,-0.3743,-0.2681,-1.0687,-1.4809,-4.2443
302942.0506,1021232,197,0.9282,-0.3740,-0.2632,-0.7176,-1.2824,-4.1221
302942.0506,1021242,197,0.9297,-0.3750,-0.2622,-0.3664,-1.3435,-3.9237
302942.1550,1021252,198,0.9309,-0.3757,-0.2690,-0.1069,-1.5115,-3.7099
302942.1550,1021262,198,0.9307,-0.3784,-0.2693,0.1527,-1.6183,-3.4809
302942.1550,1021272,198,0.9331,-0.3789,-0.2695,0.2901,-1.8473,-3.2519
302942.1550,1021282,198,0.9365,-0.3750,-0.2600,0.3664,-2.0458,-2.9466
302942.1550,1021292,198,0.9360,-0.3770,-0.2664,0.4275,-2.0611,-2.6260
302942.1550,1021302,198,0.9324,-0.3774,-0.2632,0.4122,-1.8626,-2.3969
302942.1550,1021312,198,0.9307,-0.3772,-0.2698,0.4580,-1.5420,-2.1527
302942.1550,1021322,198,0.9253,-0.3782,-0.2642,0.5954,-1.3282,-1.9237
302942.1550,1021332,198,0.9304,-0.3765,-0.2678,0.9313,-1.5725,-1.6336
302942.1550,1021342,198,0.9331,-0.3718,-0.2634,1.3282,-1.8473,-1.2061
302942.2456,1021352,199,0.9370,-0.3647,-0.2644,1.4962,-1.8626,-0.9618
302942.2456,1021362,199,0.9338,-0.3660,-0.2646,1.4046,-1.4046,-0.9160
302942.2456,1021372,199,0.9333,-0.3640,-0.2668,1.1450,-0.9008,-1.1603
302942.2456,1021382,199,0.9290,-0.3689,-0.2703,1.1145,-0.8397,-1.3893
302942.2456,1021392,199,0.9265,-0.3701,-0.2673,1.4198,-1.1756,-1.6031
302942.2456,1021402,199,0.9299,-0.3699,-0.2651,1.9389,-1.6641,-1.7252
302942.2456,1021412,199,0.9338,-0.3735,-0.2610,2.4122,-1.9237,-1.7405
302942.2456,1021422,199,0.9377,-0.3730,-0.2598,2.4733,-1.7863,-1.5878
302942.2456,1021432,199,0.9355,-0.3667,-0.2581,2.3053,-1.3588,-1.3435
302942.2456,1021442,199,0.9358,-0.3652,-0.2559,2.0916,-1.0992,-0.8855
