host_time_s,device_ms,seq,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
302596.0627,675152,65,-0.5840,0.1011,0.8225,-4.2748,-6.7634,-4.1527
302596.0627,675162,65,-0.5781,0.1023,0.8479,0.3206,-2.9008,-4.7176
302596.0627,675172,65,-0.5942,0.1194,0.8259,3.4198,1.1603,-5.4656
302596.0627,675182,65,-0.6155,0.1206,0.7856,1.7099,2.5496,-4.8702
302596.0627,675192,65,-0.6128,0.1218,0.7693,-1.3893,0.9466,-4.0305
302596.0627,675202,65,-0.5881,0.1169,0.7781,-3.6947,-0.0611,-3.3282
302596.0627,675212,65,-0.5952,0.1121,0.7739,-5.0382,0.9924,-3.3282
302596.0627,675222,65,-0.6147,0.0916,0.7461,-6.8244,0.9466,-3.5115
302596.0627,675232,65,-0.6196,0.0706,0.7290,-7.7557,-1.4962,-2.9313
302596.0627,675242,65,-0.6038,0.0569,0.7241,-6.4885,-4.7481,-1.4046
302596.1530,675252,66,-0.5925,0.0500,0.7437,-2.2595,-5.7252,0.2443
302596.1530,675262,66,-0.6067,0.0793,0.7598,2.5802,-5.2519,1.0076
302596.1530,675272,66,-0.6138,0.0967,0.7632,3.6031,-4.9771,2.3511
302596.1530,675282,66,-0.6262,0.1218,0.7622,3.8015,-4.7634,3.0534
302596.1530,675292,66,-0.6235,0.1306,0.7734,3.8779,-5.3282,1.7252
302596.1530,675302,66,-0.6296,0.1340,0.7703,3.0076,-5.9695,-0.3969
302596.1530,675312,66,-0.6279,0.1306,0.7825,0.2443,-7.1145,-1.8168
302596.1530,675322,66,-0.6174,0.1145,0.7991,-3.4046,-7.6336,-2.1374
302596.1530,675332,66,-0.6196,0.1089,0.8044,-5.4351,-7.0992,-2.4733
302596.1530,675342,66,-0.6116,0.0942,0.8059,-6.4733,-6.4733,-2.8550
302596.2563,675352,67,-0.6165,0.0847,0.8057,-5.0534,-4.9160,-3.3435
302596.2563,675362,67,-0.6270,0.0918,0.8018,-2.4885,-4.4733,-4.1221
302596.2563,675372,67,-0.6318,0.0933,0.7908,-2.5954,-5.9389,-4.1374
302596.2563,675382,67,-0.5891,0.0833,0.8191,-4.2595,-6.8397,-3.5725
302596.2563,675392,67,-0.5872,0.0708,0.8394,-4.3053,-1.6489,-3.1603
302596.2563,675402,67,-0.6189,0.0801,0.8181,-2.4275,4.1527,-3.1145
302596.2563,675412,67,-0.6504,0.0974,0.7837,-2.5954,5.5725,-2.4580
302596.2563,675422,67,-0.6536,0.1025,0.7659,-4.1374,2.3817,-1.8473
302596.2563,675432,67,-0.6423,0.1035,0.7771,-4.8092,-1.6183,-2.2290
302596.2563,675442,67,-0.6106,0.0913,0.8101,-4.6870,-3.8168,-3.0534
302596.3623,675452,68,-0.6055,0.0837,0.8291,-3.2214,-2.1527,-3.2366
302596.3623,675462,68,-0.6270,0.0850,0.8096,-2.1832,0.2901,-3.2214
302596.3623,675472,68,-0.6396,0.0762,0.7759,-3.2061,0.1221,-2.2290
302596.3623,675482,68,-0.6335,0.0725,0.7761,-2.7328,-2.6412,-1.2366
302596.3623,675492,68,-0.6108,0.0813,0.8025,-1.7405,-4.6718,-0.4580
302596.3623,675502,68,-0.6130,0.0903,0.8066,-1.5115,-4.4885,0.1221
302596.3623,675512,68,-0.6184,0.0964,0.7917,-2.6718,-4.3511,0.6870
302596.3623,675522,68,-0.6321,0.0962,0.7803,-3.9847,-5.4198,1.0076
302596.3623,675532,68,-0.6121,0.0923,0.7825,-4.6565,-7.3282,1.3893
302596.3623,675542,68,-0.5989,0.0852,0.8044,-2.8550,-7.0382,1.7405
302596.4520,675552,69,-0.6069,0.1096,0.8130,0.4427,-5.1298,1.4351
302596.4520,675562,69,-0.6279,0.1248,0.7932,-0.2290,-3.8321,1.8626
302596.4520,675572,69,-0.6265,0.1235,0.7798,-2.4885,-5.2214,2.1221
302596.4520,675582,69,-0.6064,0.1250,0.8020,-2.0916,-7.4198,1.2672
302596.4520,675592,69,-0.5886,0.1301,0.8181,-1.0992,-5.7557,0.1221
302596.4520,675602,69,-0.6091,0.1287,0.8042,-2.5954,-1.4809,-0.5802
302596.4520,675612,69,-0.6162,0.1077,0.7881,-3.9389,-0.2137,-0.7634
302596.4520,675622,69,-0.6152,0.1064,0.7874,-2.2595,-0.5496,-0.8702
302596.4520,675632,69,-0.6206,0.1050,0.7869,-0.9618,-1.6336,-0.8550
302596.4520,675642,69,-0.6167,0.1064,0.7937,-0.1527,-3.1756,-0.7176
302596.5571,675652,70,-0.5969,0.1133,0.8198,-0.2290,-4.1069,-0.3817
302596.5571,675662,70,-0.5850,0.1021,0.8350,0.0763,-2.5344,-0.3511
302596.5571,675672,70,-0.5962,0.1111,0.8259,2.0916,0.6718,-1.3893
302596.5571,675682,70,-0.6147,0.1118,0.7937,1.8473,1.9084,-1.9847
302596.5571,675692,70,-0.6218,0.1074,0.7837,0.0458,0.5191,-1.6641
302596.5571,675702,70,-0.6130,0.1064,0.7798,-1.0382,-1.7099,-1.1145
302596.5571,675712,70,-0.5984,0.1069,0.7947,-1.4809,-2.8702,-0.9313
302596.5571,675722,70,-0.6016,0.1108,0.7861,-1.9847,-2.2901,-0.9618
302596.5571,675732,70,-0.6052,0.1050,0.7769,-2.7023,-2.5496,-1.1603
302596.5571,675742,70,-0.5986,0.0923,0.7837,-2.3969,-3.6794,-1.2214
302596.6628,675752,71,-0.5884,0.0908,0.7942,0.1374,-3.8779,-1.3893
302596.6628,675762,71,-0.5935,0.0969,0.8044,1.7710,-3.2824,-1.1603
302596.6628,675772,71,-0.5964,0.1023,0.8025,1.6336,-3.3588,-0.5802
302596.6628,675782,71,-0.5859,0.1011,0.8130,1.3588,-3.2061,-0.2901
302596.6628,675792,71,-0.5920,0.1072,0.8079,2.0458,-1.9542,-0.4427
302596.6628,675802,71,-0.6055,0.1165,0.7961,1.9542,-1.4656,-0.5954
302596.6628,675812,71,-0.6096,0.1169,0.7791,0.8092,-2.3664,-0.8397
302596.6628,675822,71,-0.6042,0.1152,0.7842,-0.5191,-3.8015,-1.1450
302596.6628,675832,71,-0.5942,0.1077,0.7886,-1.3130,-4.3511,-1.4198
302596.6628,675842,71,-0.5881,0.0986,0.7937,-0.7328,-3.5115,-1.7099
302596.7525,675852,72,-0.5986,0.1045,0.7878,0.3969,-2.3969,-1.9084
302596.7525,675862,72,-0.5947,0.1064,0.7935,0.7634,-2.6718,-1.4962
302596.7525,675872,72,-0.5991,0.0999,0.7983,1.6336,-2.5649,-1.3435
302596.7525,675882,72,-0.6040,0.1135,0.7927,3.2214,-2.5649,-1.8321
302596.7525,675892,72,-0.6006,0.1091,0.8008,2.7328,-2.6718,-1.9695
302596.7525,675902,72,-0.6001,0.1047,0.7954,1.9542,-3.1908,-2.1221
302596.7525,675912,72,-0.5964,0.0984,0.7976,1.6183,-3.7863,-1.8779
302596.7525,675922,72,-0.6025,0.1042,0.7974,2.1832,-4.1374,-1.7252
302596.7525,675932,72,-0.6067,0.1116,0.7881,2.1221,-4.9008,-1.9237
302596.7525,675942,72,-0.5898,0.1191,0.8010,1.3130,-5.9695,-2.2443
302596.8598,675952,73,-0.5745,0.1187,0.8232,-0.5802,-4.1374,-2.1527
302596.8598,675962,73,-0.5952,0.1067,0.8005,-1.5115,-0.3817,-2.6412
302596.8598,675972,73,-0.6145,0.0996,0.7788,-1.6641,0.1221,-3.3740
302596.8598,675982,73,-0.6099,0.0847,0.7878,-1.2366,-2.3359,-3.2672
302596.8598,675992,73,-0.6021,0.0854,0.8059,0.9160,-3.6794,-2.8855
302596.8598,676002,73,-0.6099,0.0996,0.8110,2.8092,-3.6031,-2.9618
302596.8598,676012,73,-0.6125,0.0942,0.8062,1.8473,-3.8779,-2.9008
302596.8598,676022,73,-0.6133,0.0940,0.8010,0.6565,-5.5420,-2.7939
302596.8598,676032,73,-0.5955,0.0879,0.8198,0.4427,-6.9924,-2.7786
302596.8598,676042,73,-0.5823,0.0894,0.8423,1.3130,-5.6183,-2.7939
302596.9625,676052,74,-0.5845,0.1045,0.8521,1.1450,-1.9237,-2.8397
302596.9625,676062,74,-0.5854,0.1033,0.8420,-1.8473,2.2595,-2.2748
302596.9625,676072,74,-0.6064,0.0940,0.8137,-4.4580,6.6565,-2.0458
302596.9625,676082,74,-0.6289,0.0852,0.7961,-4.8244,7.6031,-2.2595
302596.9625,676092,74,-0.6318,0.0811,0.7805,-2.7634,3.9542,-2.5802
302596.9625,676102,74,-0.6248,0.0833,0.7827,-0.9771,0.0305,-2.7023
302596.9625,676112,74,-0.6260,0.0837,0.7810,-0.6565,-3.1603,-2.4427
302596.9625,676122,74,-0.6091,0.0901,0.7949,-0.3664,-5.9847,-1.9847
302596.9625,676132,74,-0.5942,0.0881,0.8052,-0.0916,-6.8855,-1.4351
302596.9625,676142,74,-0.5803,0.0901,0.8188,2.1374,-5.4504,-2.0305
302597.0515,676152,75,-0.5857,0.0923,0.8167,4.0153,-1.4809,-2.2443
302597.0515,676162,75,-0.6184,0.1018,0.7795,3.7405,1.2977,-1.9389
302597.0515,676172,75,-0.6184,0.0913,0.7700,2.1985,-0.4427,-1.5878
302597.0515,676182,75,-0.6096,0.0906,0.7881,2.4122,-3.2366,-1.8015
302597.0515,676192,75,-0.6084,0.0928,0.8005,2.9618,-4.2748,-2.7023
302597.0515,676202,75,-0.6123,0.0920,0.7966,1.4656,-5.2672,-3.1908
302597.0515,676212,75,-0.6108,0.0784,0.7917,-0.7786,-6.7328,-3.2519
302597.0515,676222,75,-0.6047,0.0657,0.7952,-1.6336,-8.2901,-2.9160
302597.0515,676232,75,-0.5896,0.0688,0.8105,-0.3511,-9.4046,-2.3053
302597.0515,676242,75,-0.5642,0.0732,0.8381,0.3817,-8.5344,-1.1908
302597.1572,676252,76,-0.5564,0.0715,0.8538,1.2824,-3.7557,-0.0153
302597.1572,676262,76,-0.5867,0.0793,0.8406,3.0687,2.3817,0.4122
302597.1572,676272,76,-0.6155,0.0947,0.8032,3.5573,4.8244,0.9008
