host_time_s,device_ms,seq,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
302282.8650,361952,5,-0.6272,-0.0024,0.7856,0.1374,2.2595,0.1527
302282.8650,361962,5,-0.6326,-0.0005,0.7781,1.2366,1.5573,0.0458
302282.8650,361972,5,-0.6270,-0.0034,0.7742,2.8855,0.1985,-0.4427
302282.8650,361982,5,-0.6270,-0.0012,0.7717,4.1374,-1.2672,-0.9618
302282.8650,361992,5,-0.6270,-0.0137,0.7676,3.2824,-2.8550,-0.7023
302282.8650,362002,5,-0.6138,-0.0276,0.7764,2.9466,-4.4733,-0.1985
302282.8650,362012,5,-0.6033,-0.0378,0.7832,3.8321,-5.4656,0.4885
302282.8650,362022,5,-0.5955,-0.0386,0.8044,4.3817,-5.0840,2.0611
302282.8650,362032,5,-0.5906,-0.0400,0.8057,4.5344,-2.8855,4.3359
302282.8650,362042,5,-0.6033,-0.0315,0.7917,5.0229,-0.9160,6.4122
302282.9687,362052,6,-0.6121,-0.0188,0.7766,5.8168,-1.2366,7.7710
302282.9687,362062,6,-0.6123,0.0034,0.7812,6.2290,-2.4580,8.4580
302282.9687,362072,6,-0.6187,0.0193,0.7847,5.1603,-3.3282,8.8702
302282.9687,362082,6,-0.6199,0.0183,0.7839,3.5115,-4.8244,8.5038
302282.9687,362092,6,-0.5955,0.0085,0.7922,2.5038,-5.6183,8.1069
302282.9687,362102,6,-0.5994,0.0110,0.8032,4.6107,-3.3893,8.2901
302282.9687,362112,6,-0.6240,0.0337,0.7776,6.8702,-0.9771,8.0916
302282.9687,362122,6,-0.6406,0.0557,0.7708,6.5344,-1.3893,7.7252
302282.9687,362132,6,-0.6389,0.0720,0.7786,4.8397,-3.6031,6.9924
302282.9687,362142,6,-0.6304,0.0706,0.7773,2.4427,-5.0840,5.3740
302283.0594,362152,7,-0.6326,0.0613,0.7683,0.1069,-6.3511,3.4046
302283.0594,362162,7,-0.6370,0.0581,0.7661,-1.4504,-8.5038,1.8779
302283.0594,362172,7,-0.6235,0.0515,0.7742,-2.9924,-11.2214,0.8244
302283.0594,362182,7,-0.6069,0.0366,0.7954,-4.7939,-11.5267,0.2137
302283.0594,362192,7,-0.5898,0.0188,0.8132,-5.3893,-9.1298,0.0611
302283.0594,362202,7,-0.5994,0.0171,0.8262,-2.5038,-5.4809,-0.2290
302283.0594,362212,7,-0.6257,0.0317,0.8132,1.3282,-2.6260,-0.8855
302283.0594,362222,7,-0.6426,0.0466,0.8032,1.6641,-2.8397,-0.6412
302283.0594,362232,7,-0.6177,0.0518,0.8157,0.2595,-4.1679,-0.3359
302283.0594,362242,7,-0.6167,0.0491,0.8176,-0.1221,-2.1832,-0.7023
302283.1650,362252,8,-0.6255,0.0520,0.7983,-0.5954,-0.5802,-1.4198
302283.1650,362262,8,-0.6345,0.0354,0.7856,-2.1679,-1.1603,-2.0611
302283.1650,362272,8,-0.6323,0.0242,0.7720,-2.8397,-3.3893,-2.5191
302283.1650,362282,8,-0.6101,0.0073,0.7791,-2.6870,-6.7023,-2.1985
302283.1650,362292,8,-0.5884,0.0073,0.8079,-1.5115,-7.5267,-1.4809
302283.1650,362302,8,-0.5933,0.0149,0.8157,-1.1756,-5.3740,-0.4885
302283.1650,362312,8,-0.6086,0.0208,0.8008,-2.1832,-3.3588,0.7176
302283.1650,362322,8,-0.6238,0.0256,0.7864,-2.8702,-3.3282,1.5115
302283.1650,362332,8,-0.6248,0.0337,0.7883,-2.7176,-5.3893,1.8321
302283.1650,362342,8,-0.6067,0.0378,0.8005,-1.9084,-7.5573,1.5725
302283.2684,362352,9,-0.5935,0.0344,0.8093,-1.8168,-7.1756,1.2366
302283.2684,362362,9,-0.6021,0.0298,0.8027,-2.3206,-5.3588,1.3282
302283.2684,362372,9,-0.5981,0.0259,0.8015,-2.5954,-4.4733,2.0000
302283.2684,362382,9,-0.5957,0.0315,0.8010,-0.7328,-3.5420,2.3359
