host_time_s,device_ms,seq,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
302436.9590,516052,10,0.7271,-0.7961,0.0417,-63.6794,58.0305,15.0992
302436.9590,516062,10,0.7197,-0.8208,0.0032,-46.7176,45.7863,2.3359
302436.9590,516072,10,0.7388,-0.8787,-0.0449,-36.2137,33.1756,-4.3359
302436.9590,516082,10,0.7114,-0.8748,-0.0898,-31.3588,21.7863,-1.4504
302436.9590,516092,10,0.6606,-0.8657,-0.1172,-29.5573,9.7252,5.5725
302436.9590,516102,10,0.6428,-0.8040,-0.1147,-26.9924,-2.9466,12.2901
302436.9590,516112,10,0.6108,-0.7800,-0.0886,-25.8168,-9.3740,12.8092
302436.9590,516122,10,0.6348,-0.7576,-0.0603,-19.9542,-16.2443,7.3588
302436.9590,516132,10,0.6746,-0.7329,-0.0320,-9.9847,-23.2061,-1.6794
302436.9590,516142,10,0.7207,-0.7581,-0.0020,-4.1679,-30.7176,-10.1985
302437.0625,516152,11,0.7476,-0.7886,-0.0266,-2.9008,-37.7405,-12.3969
302437.0625,516162,11,0.7278,-0.8008,-0.0962,0.7481,-44.2748,-12.0763
302437.0625,516172,11,0.6741,-0.7742,-0.1689,7.5725,-54.9924,-13.0840
302437.0625,516182,11,0.6714,-0.7410,-0.2100,13.7405,-75.3130,-15.8779
302437.0625,516192,11,0.6287,-0.7249,-0.2747,15.7710,-103.1298,-20.9008
302437.0625,516202,11,0.6455,-0.6748,-0.2231,10.4885,-134.5954,-29.4809
302437.0625,516212,11,0.7769,-0.8481,-0.3020,4.3359,-158.8244,-36.0611
302437.0625,516222,11,0.8635,-0.9790,-0.2253,27.4351,-167.1756,-38.7786
302437.0625,516232,11,1.0688,-0.9756,-0.0872,52.1832,-160.9008,-27.5573
302437.0625,516242,11,1.0310,-0.9114,-0.0828,63.1298,-119.4809,-21.3893
302437.1664,516252,12,0.8486,-0.8489,-0.1748,71.4198,-85.1145,-19.6336
302437.1664,516262,12,0.8564,-0.4224,0.2080,68.6565,-77.0687,-19.3588
302437.1664,516272,12,0.7251,-0.5491,-0.0342,22.6260,-38.7176,-54.5802
302437.1664,516282,12,0.8235,-0.5850,0.0261,7.5878,-43.7863,-57.3893
302437.1664,516292,12,0.7410,-0.5032,-0.0100,7.4198,-39.0382,-51.2824
302437.1664,516302,12,0.6106,-0.4565,-0.0681,-5.4504,-40.1985,-44.9466
302437.1664,516312,12,0.6917,-0.4978,-0.1184,-22.2137,-49.4351,-41.8473
302437.1664,516322,12,0.8337,-0.6162,-0.0811,-17.6489,-37.0687,-43.9237
302437.1664,516332,12,0.9038,-0.6399,-0.0581,-12.6718,-21.8015,-35.0534
302437.1664,516342,12,0.8877,-0.6045,-0.0588,-13.4809,-13.1145,-23.2519
302437.2574,516352,13,0.8374,-0.6187,-0.1030,-17.8779,-12.1832,-21.2061
302437.2574,516362,13,0.9038,-0.5601,-0.0183,-9.9389,-4.4733,-23.8626
302437.2574,516372,13,0.9138,-0.5959,-0.0222,-14.4733,2.0458,-10.5802
302437.2574,516382,13,0.8340,-0.6443,-0.0776,-26.0458,3.1145,2.0916
302437.2574,516392,13,0.9031,-0.7192,-0.1318,-32.0305,-1.6794,9.2519
302437.2574,516402,13,0.8831,-0.7488,-0.1721,-26.6870,1.7405,14.0153
302437.2574,516412,13,0.9209,-0.7490,-0.1882,-19.4504,4.3511,17.6947
302437.2574,516422,13,0.9038,-0.6780,-0.1511,-12.3664,10.0000,20.9160
302437.2574,516432,13,0.8716,-0.6594,-0.1401,-11.6336,13.7099,24.7634
302437.2574,516442,13,0.8413,-0.6011,-0.1099,-11.5573,17.1450,24.4122
302437.3629,516452,14,0.8779,-0.5894,-0.0598,-14.3817,17.2824,19.4656
302437.3629,516462,14,0.8523,-0.6011,-0.0454,-17.3435,19.1756,21.0382
302437.3629,516472,14,0.8015,-0.5735,-0.0256,-16.4580,21.2824,20.9924
302437.3629,516482,14,0.8171,-0.5693,-0.0168,-14.2290,18.9618,18.9466
302437.3629,516492,14,0.8127,-0.5952,-0.0371,-12.5954,17.2214,17.6641
302437.3629,516502,14,0.7810,-0.6428,-0.0789,-10.9618,15.0840,14.0611
302437.3629,516512,14,0.7913,-0.6753,-0.1143,-9.0076,8.8702,12.1527
302437.3629,516522,14,0.8530,-0.7095,-0.1270,-5.9084,1.9237,11.0840
302437.3629,516532,14,0.8645,-0.7468,-0.1367,-0.5344,0.3969,12.5191
302437.3629,516542,14,0.8425,-0.7502,-0.1536,6.0458,0.5038,13.6336
302437.4532,516552,15,0.8801,-0.7859,-0.1853,10.5191,-1.8015,14.0305
302437.4532,516562,15,0.9387,-0.8296,-0.2180,15.5573,-2.3664,14.5344
302437.4532,516572,15,0.9548,-0.8774,-0.2458,22.4427,-1.4962,15.9542
302437.4532,516582,15,0.9663,-0.8689,-0.2502,31.0687,-1.7710,16.2901
302437.4532,516592,15,0.9644,-0.8530,-0.2542,38.8244,-2.3664,15.7863
302437.4532,516602,15,0.9873,-0.8284,-0.2495,43.8626,-4.8702,16.4122
302437.4532,516612,15,0.9868,-0.8206,-0.2830,47.4962,-6.1374,15.8779
302437.4532,516622,15,0.9666,-0.7913,-0.3027,49.6031,-7.6336,15.8473
302437.4532,516632,15,0.9197,-0.7661,-0.3237,49.3893,-10.0458,17.2061
302437.4532,516642,15,0.8591,-0.7349,-0.3484,49.2366,-11.6336,17.5725
302437.5723,516652,16,0.8499,-0.7910,-0.3586,48.2901,-16.2595,17.2824
302437.5723,516662,16,0.8452,-0.8076,-0.3831,52.9466,-21.5420,15.0534
302437.5723,516672,16,0.8699,-0.8494,-0.4043,56.4275,-26.0611,16.8397
302437.5723,516682,16,0.8735,-0.8843,-0.3643,66.1221,-27.0229,15.2977
302437.5723,516692,16,0.9128,-0.9104,-0.3359,77.2824,-27.8779,13.8931
302437.5723,516702,16,0.9436,-0.9204,-0.3264,90.0458,-26.1679,12.4733
