host_time_s,device_ms,seq,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
299397.8015,303169,185,1.0083,-0.5220,-0.4106,58.1069,-2.1985,43.0534
299397.8015,303179,185,1.0366,-0.5210,-0.4014,64.3817,-5.0840,48.9160
299397.8015,303189,185,1.0610,-0.5017,-0.3975,72.5802,-8.0305,53.0534
299397.8015,303199,185,1.0864,-0.4678,-0.3870,80.5954,-10.3664,56.2901
299397.8015,303209,185,1.1128,-0.4263,-0.3601,85.9237,-11.4962,59.8015
299397.8015,303219,185,1.1377,-0.3706,-0.3467,84.0458,-9.8931,66.9466
299397.8015,303229,185,1.1377,-0.3706,-0.3467,84.0458,-9.8931,66.9466
299397.8015,303239,185,1.1213,-0.3628,-0.3481,79.8626,-5.3282,69.4351
299397.8015,303249,185,1.0945,-0.3672,-0.3572,76.1527,-0.0153,70.4122
299397.8015,303259,185,1.0649,-0.3840,-0.3696,75.0076,4.3969,69.2366
299397.9059,303269,186,1.0371,-0.3992,-0.3682,77.4046,6.9618,66.6565
299397.9059,303279,186,1.0129,-0.4023,-0.3608,83.0382,7.7099,63.8626
299397.9059,303289,186,1.0144,-0.3811,-0.3455,89.5573,6.4885,62.1832
299397.9059,303299,186,1.0212,-0.3599,-0.3264,93.2519,5.3282,62.0153
299397.9059,303309,186,1.0173,-0.3364,-0.3081,93.1756,7.2672,62.5954
299397.9059,303319,186,0.9902,-0.3105,-0.3032,90.0763,11.0992,63.5725
299397.9059,303329,186,0.9580,-0.2854,-0.2952,84.7481,13.3435,64.2443
299397.9059,303339,186,0.9329,-0.2649,-0.2910,78.5802,13.3435,63.9389
299397.9059,303349,186,0.9094,-0.2458,-0.2827,71.9847,12.5802,62.4733
299397.9059,303359,186,0.8799,-0.2397,-0.2839,64.0763,11.4504,60.5038
299398.0142,303369,187,0.8601,-0.2390,-0.2864,56.2901,10.5802,57.7710
299398.0142,303379,187,0.8342,-0.2405,-0.2798,49.6183,9.9084,54.2901
299398.0142,303389,187,0.8213,-0.2458,-0.2803,44.2137,8.7328,50.5954
299398.0142,303399,187,0.8101,-0.2468,-0.2844,40.3206,7.1298,46.5191
299398.0142,303409,187,0.8030,-0.2571,-0.2893,37.8015,5.8931,42.0000
299398.0142,303419,187,0.7974,-0.2551,-0.2881,36.1679,5.1603,37.1603
299398.0142,303429,187,0.7886,-0.2576,-0.2893,35.1603,4.1679,32.2137
299398.0142,303439,187,0.7803,-0.2549,-0.2861,34.9466,2.8855,26.8702
299398.0142,303449,187,0.7803,-0.2529,-0.2817,34.6107,0.9771,21.6183
299398.0142,303459,187,0.7827,-0.2542,-0.2805,33.6031,-1.1756,17.0382
299398.1173,303469,188,0.7761,-0.2542,-0.2734,32.5496,-2.4733,12.7023
299398.1173,303479,188,0.7700,-0.2507,-0.2766,30.6870,-3.2061,8.4275
299398.1173,303489,188,0.7639,-0.2520,-0.2744,28.0916,-3.6031,4.4275
299398.1173,303499,188,0.7522,-0.2600,-0.2766,26.1985,-3.7557,0.9313
299398.1173,303509,188,0.7466,-0.2646,-0.2759,24.9466,-3.6794,-2.5344
299398.1173,303519,188,0.7400,-0.2666,-0.2727,23.1756,-3.9847,-5.4962
299398.1173,303529,188,0.7393,-0.2678,-0.2627,21.2214,-4.7939,-8.0000
299398.1173,303539,188,0.7434,-0.2698,-0.2622,19.7557,-5.8473,-10.3511
299398.1173,303549,188,0.7466,-0.2666,-0.2551,17.9695,-6.9618,-12.5191
299398.1173,303559,188,0.7556,-0.2712,-0.2483,15.8168,-7.7710,-14.3664
299398.2068,303569,189,0.7693,-0.2654,-0.2410,14.1221,-8.6260,-16.3053
299398.2068,303579,189,0.7830,-0.2515,-0.2312,12.7023,-9.2824,-18.1679
299398.2068,303589,189,0.7954,-0.2429,-0.2231,10.6107,-9.8473,-20.2443
299398.2068,303599,189,0.8093,-0.2268,-0.2183,8.0153,-9.7710,-22.5496
299398.2068,303609,189,0.8240,-0.2119,-0.2114,4.6260,-8.7939,-25.0687
299398.2068,303619,189,0.8335,-0.2092,-0.2048,0.7023,-6.7481,-27.5267
299398.2068,303629,189,0.8413,-0.2078,-0.2004,-2.6260,-3.3740,-30.2595
299398.2068,303639,189,0.8435,-0.2024,-0.2061,-5.7557,0.7634,-34.0916
299398.2068,303649,189,0.8433,-0.2041,-0.2222,-10.6260,4.1679,-37.8779
299398.2068,303659,189,0.8452,-0.1992,-0.2405,-17.0076,6.7786,-41.4809
299398.3144,303669,190,0.8708,-0.1921,-0.2620,-23.6183,8.0153,-44.2137
299398.3144,303679,190,0.9170,-0.1829,-0.2908,-29.5725,6.4580,-45.2824
299398.3144,303689,190,0.9541,-0.1619,-0.3145,-34.2901,5.0229,-47.1298
